Ticker,KL_mua_ban,GT_mua_ban
ABB,0,274000
ACB,-4401400,-103567670000
BID,747668,38930425000
EIB,-115500,-2469825000
HDB,1155879,31906933300
LPB,-78100,-3246025000
MBB,2961433,81656163150
MSB,-378100,-4593525000
NAB,-519156,-7279069900
OCB,-46700,-546475000
SHB,-288354,-4521767800
STB,-1320600,-84901080000
TCB,598400,21312390000
TPB,42067,638287600
VAB,-28700,-327460000
VCB,-2750581,-190542201400
VIB,-328299,-5682932650
VPB,-1671800,-46309545000
AGR,-31600,-513215000
BSI,-40300,-1578495000
BVS,2900,88740000
CTS,-15000,-478745000
DSC,0,39400000
DSE,-41600,-1009070000
EVS,0,-15080000
FTS,-10330,-338914050
HCM,-352900,-8357430000
MBS,-251561,-6762498700
ORS,-15500,-220025000
PSI,-2100,-16800000
SHS,-127200,-2393291600
SSI,-1173834,-36915524400
TCX,139914,7765041200
VCI,-143444,-5211962200
VDS,170600,3114765000
VIX,-205037,-4616601100
VND,-1168600,-21529405000
VPX,-29666,-828569800
AGG,-1600,-21705000
CEO,-298400,-5972740000
CKG,-500,-4870000
CSC,0,0
DIG,-744040,-12102696000
DPG,-43000,-1980320000
DXG,-763000,-11715620000
DXS,-536000,-3823206000
HDC,-105000,-2346790000
HDG,-181000,-4999835000
ITC,0,0
KDH,-676420,-18086212000
NBB,-400,-7200000
NHA,-4500,-68285000
NLG,103390,2997625900
NTL,-2300,-39450000
NVL,-222108,-2743960800
PDR,-327700,-5703310000
TCH,-67900,-1043620000
CII,-2250300,-41583430000
CTD,19983,1699907800
CTI,-177300,-4462530000
DTD,-6700,-130940000
FCN,-6400,-93455000
HHV,-420600,-5280750000
L14,-800,-21280000
PLC,18700,588640000
VCG,-578860,-11008043000
BMP,-81900,-12868690000
HPG,2104401,58259584050
HSG,-133500,-2193010000
NKG,-198100,-3084975000
SMC,-67900,-924315000
TLH,0,111903000
VGS,20600,557740000
BSR,1899951,46796677450
GAS,452753,51536535500
KSB,-285900,-5101260000
PAC,-48900,-1167450000
PLX,100700,5714170000
PVB,19600,715850000
PVC,0,-7442400
PVD,2085502,70291527000
PVP,-25100,-382645000
PVS,925300,42602110000
PVT,-1005800,-22445595000
ANV,-122000,-3546415000
CMX,0,85760000
FMC,2900,109640000
IDI,-20400,-145382000
VHC,-461430,-30235227000
KBC,348831,12663162100
LHG,0,-4500550000
SZC,1231500,45074860000
TIP,-1800,-36270000
VGC,293400,16545400000
NTC,0,0
SIP,-37775,-2470450000
DGW,-337031,-19371057700
FRT,80800,13849360000
HAX,55479,618217200
MCH,-33394,-5197206800
MSN,-758061,-61352950900
PET,0,-720000
MWG,1985400,180352047200
PNJ,-602950,-69804915000
VNM,41025,2486930000
CMG,-60300,-2186790000
CTR,-84557,-8251787300
ELC,-29000,-692075000
FPT,-8237151,-821482871400
SAM,-1300,-9347000
VGI,0,-2539233900
VTP,-69903,-7827442100
HHS,-85300,-961370000
EVF,-316800,-3838175000
AAA,-250500,-2028477000
BFC,16300,821455000
CSV,96900,2958970000
DCM,-125200,-4792460000
DDV,-138200,-4108660000
DGC,-134860,-9225914000
DPM,1137154,28929741100
LAS,0,4080000
GEE,-28153,-5022086000
GEG,2000,30400000
GEX,-681470,-25070827500
IDC,517300,24980400000
NT2,238980,6400470500
PC1,219600,5563835000
POW,-265819,-4003336900
REE,0,3150000
TV2,39800,1488150000
NAF,163300,6656860000
PAN,-70600,-2207655000
DHG,-300,-31080000
TNH,-10500,-126770000
GMD,403900,29013970000
HAH,9240,591794000
SGP,0,5560000
SKG,0,109000000
VOS,204600,2953405000
GIL,25200,372560000
MSH,355100,14226910000
DPR,-150300,-6384120000
DRC,0,-60259950
GVR,1000200,40290890000
PHR,-126200,-8270630000
TRCVHM,0,0
VRE,-971500,-27921950000
VPL,-105000,-8944130000
VIC,-422179,-52830041200
BAF,230450,8592910000
DBC,-474000,-13887960000
HAG,600,10220000
IPA,-3700,-67190000
PTB,-100,-3940000
PVI,-40910,-3846490000
SAB,166475,8334849000
TIG,14300,128700000
TTF,-149900,-454885000
